,Parameter,Value,Unit
68,global.conversion_rate_vkh2_vko,0.22799999999999998,1/h
69,global.conversion_rate_vko_vk,0.22799999999999998,1/h
70,global.degradation_rate_aii_tmod_complex,20.0,1/h
71,global.degradation_rate_aix_aviii_complex,20.0,1/h
72,global.degradation_rate_apc_ps_complex,20.0,1/h
73,global.degradation_rate_av_ax_complex,20.0,1/h
74,global.degradation_rate_avii_tf_ax_tfpi_complex,20.0,1/h
75,global.degradation_rate_avii_tf_complex,20.0,1/h
76,global.degradation_rate_ax_tfpi_complex,20.0,1/h
77,global.degradation_rate_ca,0.05,1/h
78,global.degradation_rate_fdp,3.5,1/h
79,global.degradation_rate_fibrin,0.05,1/h
80,global.degradation_rate_fibrinogen,0.032,1/h
81,global.degradation_rate_ii,0.01,1/h
82,global.degradation_rate_ii_activated,67.4,1/h
83,global.degradation_rate_ix,0.029,1/h
84,global.degradation_rate_ix_activated,20.0,1/h
85,global.degradation_rate_kallikrein,20.0,1/h
86,global.degradation_rate_pc,0.05,1/h
87,global.degradation_rate_pc_activated,20.4,1/h
88,global.degradation_rate_plasmin,20.0,1/h
89,global.degradation_rate_plasminogen,0.05,1/h
90,global.degradation_rate_prekallikrein,0.05,1/h
91,global.degradation_rate_ps,0.0165,1/h
92,global.degradation_rate_tat,0.2,1/h
93,global.degradation_rate_tfpi,20.0,1/h
94,global.degradation_rate_tissue_factor,0.05,1/h
95,global.degradation_rate_tmod,0.05,1/h
96,global.degradation_rate_v,0.043,1/h
97,global.degradation_rate_v_activated,20.0,1/h
98,global.degradation_rate_vii,0.12,1/h
99,global.degradation_rate_vii_activated,20.0,1/h
100,global.degradation_rate_vii_tf_complex,7.0,1/h
101,global.degradation_rate_viii,0.058,1/h
102,global.degradation_rate_viii_activated,20.0,1/h
103,global.degradation_rate_x,0.018,1/h
104,global.degradation_rate_x_activated,20.0,1/h
105,global.degradation_rate_xf,0.05,1/h
106,global.degradation_rate_d_dimer,0.1,1/h
107,global.degradation_rate_xi,0.1,1/h
108,global.degradation_rate_xi_activated,20.0,1/h
109,global.degradation_rate_xii,0.012,1/h
110,global.degradation_rate_xii_activated,20.0,1/h
111,global.degradation_rate_xiii,0.0036,1/h
112,global.degradation_rate_xiii_activated,0.69,1/h
113,global.elimination_rate_atiii_heparin_complex,0.693,1/h
114,global.elimination_rate_vk,0.2052,1/h
115,global.elimination_rate_warfarin,0.02,1/h
115,global.gamma,1,dimensionless
116,global.half_maximal_effect_concentration_aii_tmod_complex_pc,1.0,nM
117,global.half_maximal_effect_concentration_aix_aviii_complex_x,0.1,nM
118,global.half_maximal_effect_concentration_aix_vii,10.0,nM
119,global.half_maximal_effect_concentration_aix_x,10.0,nM
120,global.half_maximal_effect_concentration_apc_ps_complex_av,1.0,nM
121,global.half_maximal_effect_concentration_apc_ps_complex_av_ax_complex,1.0,nM
122,global.half_maximal_effect_concentration_apc_ps_complex_aviii,1.0,nM
123,global.half_maximal_effect_concentration_apc_ps_complex_plasminogen,1.0,nM
124,global.half_maximal_effect_concentration_apc_ps_complex_xf,1.0,nM
125,global.half_maximal_effect_concentration_av_ax_complex_ii,10.0,nM
126,global.half_maximal_effect_concentration_avii_tf_complex_ix,1.0,nM
127,global.half_maximal_effect_concentration_avii_tf_complex_vii,10.0,nM
128,global.half_maximal_effect_concentration_avii_tf_complex_x,200.0,nM
129,global.half_maximal_effect_concentration_avii_x,10.0,nM
130,global.half_maximal_effect_concentration_ax_ii,500.0,nM
131,global.half_maximal_effect_concentration_ax_vii,10.0,nM
132,global.half_maximal_effect_concentration_ax_vii_tf_complex,1.0,nM
133,global.half_maximal_effect_concentration_axi_ix,10.0,nM
134,global.half_maximal_effect_concentration_axii_prekallikrein,1.0,nM
135,global.half_maximal_effect_concentration_axii_xi,1.0,nM
136,global.half_maximal_effect_concentration_axiii_fibrin,10.0,nM
137,global.half_maximal_effect_concentration_ca_xii,1.0,nM
138,global.half_maximal_effect_concentration_fibrin_plasminogen,10000.0,nM
139,global.half_maximal_effect_concentration_kallikrein_xii,1.0,nM
140,global.half_maximal_effect_concentration_plasmin_fibrin,10.0,nM
141,global.half_maximal_effect_concentration_plasmin_fibrinogen,500.0,nM
142,global.half_maximal_effect_concentration_plasmin_xf,100.0,nM
143,global.half_maximal_effect_concentration_tf_vii_tf_complex,1.0,nM
144,global.half_maximal_effect_concentration_thrombin_fibrinogen,0.5,nM
145,global.half_maximal_effect_concentration_thrombin_plasminogen,5000.0,nM
146,global.half_maximal_effect_concentration_thrombin_v,10.0,nM
147,global.half_maximal_effect_concentration_thrombin_vii,10.0,nM
148,global.half_maximal_effect_concentration_thrombin_viii,1e-06,nM
149,global.half_maximal_effect_concentration_thrombin_xi,10.0,nM
150,global.half_maximal_effect_concentration_thrombin_xiii,1.0,nM
151,global.half_maximal_effect_concentration_warfarin,0.34,mg/L
152,global.input_rate_vk,0.20519999999999997,nM/h
153,global.maximal_activation_rate_aii_tmod_complex_pc,7.0,1/h
154,global.maximal_activation_rate_aix_aviii_complex_x,2.0,1/h
155,global.maximal_activation_rate_aix_vii,0.2,1/h
156,global.maximal_activation_rate_aix_x,0.02,1/h
157,global.maximal_activation_rate_av_ax_complex_ii,100.0,1/h
158,global.maximal_activation_rate_avii_tf_complex_ix,70.0,1/h
159,global.maximal_activation_rate_avii_tf_complex_vii,1.0,1/h
160,global.maximal_activation_rate_avii_tf_complex_x,900.0,1/h
161,global.maximal_activation_rate_avii_x,1e-09,1/h
162,global.maximal_activation_rate_ax_ii,9.0,1/h
163,global.maximal_activation_rate_ax_vii,1.0,1/h
164,global.maximal_activation_rate_ax_vii_tf_complex,70.0,1/h
165,global.maximal_activation_rate_axi_ix,7.0,1/h
166,global.maximal_activation_rate_axii_xi,7.0,1/h
167,global.maximal_activation_rate_ca_xii,7.0,1/h
168,global.maximal_activation_rate_kallikrein_xii,70.0,1/h
169,global.maximal_activation_rate_tf_vii_tf_complex,1000.0,1/h
170,global.maximal_activation_rate_thrombin_v,50000.0,1/h
171,global.maximal_activation_rate_thrombin_vii,0.1,1/h
172,global.maximal_activation_rate_thrombin_viii,50000.0,1/h
173,global.maximal_activation_rate_thrombin_xi,10.0,1/h
174,global.maximal_activation_rate_thrombin_xiii,7.0,1/h
175,global.maximal_conversion_rate_apc_ps_complex_plasminogen,2.0,1/h
176,global.maximal_conversion_rate_axii_prekallikrein,7.0,1/h
177,global.maximal_conversion_rate_axiii_fibrin,7.0,1/h
178,global.maximal_conversion_rate_fibrin_plasminogen,5.0,1/h
179,global.maximal_conversion_rate_thrombin_fibrinogen,20000.0,1/h
180,global.maximal_conversion_rate_thrombin_plasminogen,7.0,1/h
181,global.maximal_degradation_rate_apc_ps_complex_av,100.0,1/h
182,global.maximal_degradation_rate_apc_ps_complex_av_ax_complex,2.0,1/h
183,global.maximal_degradation_rate_apc_ps_complex_aviii,50.0,1/h
184,global.maximal_degradation_rate_apc_ps_complex_xf,1.0,1/h
185,global.maximal_degradation_rate_plasmin_fibrin,7.0,1/h
186,global.maximal_degradation_rate_plasmin_fibrinogen,500.0,1/h
187,global.maximal_degradation_rate_plasmin_xf,7.0,1/h
188,global.maximal_inhibitory_effect_warfarin,1.0,dimensionless
189,global.production_rate_fibrinogen,286.25600000000003,nM/h
190,global.production_rate_ii,139.44,1/h
191,global.production_rate_ix,25.983999999999995,1/h
192,global.production_rate_pc,29.999999999999996,1/h
193,global.production_rate_plasminogen,107.71500000000002,nM/h
194,global.production_rate_prekallikrein,22.5,nM/h
195,global.production_rate_ps,49.5,1/h
196,global.production_rate_tfpi,50.0,nM/h
197,global.production_rate_tmod,2.5,nM/h
198,global.production_rate_v,1.1481,nM/h
199,global.production_rate_vii,11.999999999999996,1/h
200,global.production_rate_viii,0.0406,nM/h
201,global.production_rate_x,31.373999999999995,1/h
202,global.production_rate_xi,3.0600000000000005,nM/h
203,global.production_rate_xii,4.5,nM/h
204,global.production_rate_xiii,0.25307999999999997,nM/h
205,global.transition_rate_vk_central_to_peripheral,0.0587,1/h
206,global.transition_rate_vk_peripheral_to_central,0.0122,1/h
207,peripheral_vitamin_k.size,1.0,L
